epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,2.3139112915039064,0.0999,0.01816528775343213,0.00999099909990999,0.0999,[0.    0.    0.    0.    0.    0.    0.    0.    0.999 0.   ],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.999, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011111111111111113, 0.0, 1.0, 0.0]"
1,orchestrator,2.3878896324157717,0.0999,0.018354164624767313,0.026652658261623642,0.0999,[0.    0.    0.    0.001 0.    0.    0.    0.    0.998 0.   ],"[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.998, 0.0]","[0.0, 0.0, 0.0, 0.0005555555555555554, 0.0, 0.0, 0.0, 0.0, 0.9995555555555556, 0.0]"
2,orchestrator,2.531370412826538,0.1114,0.0370402658187145,0.05875129369981806,0.11140000000000001,[0.    0.    0.    0.114 0.    0.    0.    0.    1.    0.   ],"[0.0, 0.0, 0.0, 0.114, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.013444444444444443, 0.0, 0.0, 0.0, 0.0, 0.9738888888888889, 0.0]"
3,orchestrator,2.594724536705017,0.2978,0.17667193429321795,0.14310685934640485,0.2978,[0.926 0.    0.    0.758 0.455 0.    0.    0.    0.839 0.   ],"[0.926, 0.0, 0.0, 0.758, 0.455, 0.0, 0.0, 0.0, 0.839, 0.0]","[0.3304444444444445, 0.0, 0.0, 0.22811111111111104, 0.03500000000000001, 0.0, 0.0, 0.0, 0.18666666666666668, 0.0]"
4,orchestrator,2.0540831144332885,0.3105,0.21228139587299535,0.39939871024734136,0.3105,[0.936 0.    0.156 0.711 0.224 0.009 0.104 0.    0.965 0.   ],"[0.936, 0.0, 0.156, 0.711, 0.224, 0.009, 0.104, 0.0, 0.965, 0.0]","[0.20633333333333334, 0.0, 0.0037777777777777775, 0.1322222222222222, 0.010777777777777787, 0.0, 0.009222222222222222, 0.0, 0.4037777777777778, 0.0]"
5,orchestrator,1.1400159976005555,0.5972,0.5711938742563851,0.7432179886928963,0.5972000000000001,[0.952 0.708 0.839 0.725 0.193 0.194 0.126 0.386 0.868 0.981],"[0.952, 0.708, 0.839, 0.725, 0.193, 0.19399999999999995, 0.126, 0.386, 0.868, 0.981]","[0.22977777777777778, 0.0, 0.11844444444444445, 0.034111111111111064, 0.008333333333333335, 0.00022222222222222248, 0.0071111111111111115, 0.0005555555555555561, 0.025, 0.024000000000000014]"
6,orchestrator,0.7860694476604462,0.7214,0.7189504466621262,0.8004018254846915,0.7213999999999998,[0.959 0.892 0.788 0.714 0.519 0.354 0.291 0.837 0.885 0.975],"[0.959, 0.892, 0.788, 0.714, 0.519, 0.35400000000000004, 0.291, 0.8370000000000001, 0.885, 0.975]","[0.17066666666666672, 0.00022222222222222242, 0.058, 0.01366666666666668, 0.016555555555555546, 0.00011111111111111121, 0.012888888888888894, 0.010888888888888884, 0.006000000000000005, 0.020555555555555546]"
