epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,0,2.303334876577905,0.09933333333333333,0.01807155852031534,0.009933333333333332,0.1,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,1,2.275809435134238,0.14933333333333335,0.0876857043543387,0.2712335598341369,0.14724115721676695,"[0.         0.         1.         0.34333333 0.         0.08362369
 0.         0.         0.04545455 0.        ]","[0.0, 0.0, 1.0, 0.3433333333333333, 0.0, 0.08362369337979095, 0.0, 0.0, 0.045454545454545456, 0.0]","[0.0, 0.0, 0.9215559329332, 0.025953892381503325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,2,2.2769955891243954,0.14666666666666667,0.09005782697226032,0.2718844850820519,0.1501920112732246,"[0.         0.         1.         0.35472973 0.         0.1369863
 0.         0.         0.01020408 0.        ]","[0.0, 0.0, 1.0, 0.3547297297297297, 0.0, 0.136986301369863, 0.0, 0.0, 0.01020408163265306, 0.0]","[0.0, 0.0, 0.9207878242750611, 0.02344327431024497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,0,2.225965397155031,0.223,0.19562331727277488,0.39632771738286887,0.223617756573428,"[0.28213166 0.14236111 0.23489933 0.27118644 0.         0.15646259
 0.07692308 0.         0.99326599 0.07894737]","[0.28213166144200624, 0.1423611111111111, 0.23489932885906042, 0.2711864406779661, 0.0, 0.1564625850340136, 0.07692307692307693, 0.0, 0.9932659932659933, 0.07894736842105263]","[0.01850898529612631, 0.0007532956685499063, 0.04518161434614766, 0.041222964420876466, 0.0, 0.04636590844060409, 0.03252767079338819, 0.0, 0.6777161278045726, 0.00037037037037036965]"
1,1,1.6385707747428975,0.7603333333333333,0.7275365782439176,0.8274988374516032,0.7629002492828524,"[0.89966555 0.94845361 0.9218241  0.86       0.17948718 0.89547038
 0.07333333 0.89310345 0.97727273 0.98039216]","[0.899665551839465, 0.9484536082474228, 0.9218241042345277, 0.8600000000000001, 0.1794871794871795, 0.8954703832752613, 0.07333333333333332, 0.8931034482758621, 0.9772727272727273, 0.9803921568627451]","[0.054339139977173476, 0.0018376068376068336, 0.14536594811135373, 0.020938107138624873, 0.002188442514175413, 0.001137892592165457, 0.0017806267806267809, 0.007545910702295207, 0.011779327497822423, 0.01653116531165312]"
1,2,1.6374145264321185,0.7653333333333333,0.7357445536247222,0.8435335396197334,0.7730664764991059,"[0.94097222 0.97763578 0.94863014 0.87837838 0.19934641 0.8869863
 0.08411215 0.87735849 0.96938776 0.96785714]","[0.9409722222222222, 0.9776357827476039, 0.9486301369863012, 0.8783783783783784, 0.19934640522875818, 0.886986301369863, 0.08411214953271028, 0.8773584905660378, 0.9693877551020408, 0.9678571428571429]","[0.04001091130577414, 0.0018768768768768766, 0.15044230504197037, 0.016024160498605052, 0.0018338335775283658, 0.0022483207119325696, 0.000738483581620836, 0.009991302457055876, 0.011839927550658103, 0.01714223784341571]"
