Iteration,Memory Allocated,Memory Cached
0,0.329,0.3984
1,0.3287,0.3984
2,0.3287,0.3984
3,0.3287,0.3984
4,0.3287,0.3984
5,0.3287,0.3984
6,0.3287,0.3984
Iteration,Memory Allocated,Memory Cached
0,0.329,0.3984
Iteration,Memory Allocated,Memory Cached
0,0.3877,0.4141
1,0.3877,0.4141
